clave;Make;Model;VIN
Acura-ILX6-Speed;Acura;ILX6-Speed;19VDE2E53EE000083
Acura-ILX5-Speed;Acura;ILX5-Speed;19VDE1F52DE012636
Acura-ILXAutomatic;Acura;ILXAutomatic;19UDE2F32GA001284
Acura-TSXAutomatic;Acura;TSXAutomatic;JH4CU2F83CC019895
Acura-TSXSpecial;Acura;TSXSpecial;JH4CU2F84EC002686
Acura-TSX5-Speed;Acura;TSX5-Speed;JH4CU2F64DC006203
Acura-TSX4dr;Acura;TSX4dr;JH4CU26639C015787
Acura-TSX;Acura;TSX;JH4C42F48EC000677
Acura-ILX4dr;Acura;ILX4dr;19VDE1F34FE007892
Acura-ILXAcuraWatch;Acura;ILXAcuraWatch;19UDE2F32HA001240
Acura-ILXHybrid;Acura;ILXHybrid;19VDE3F74DE302275
Acura-TSXManual;Acura;TSXManual;JH4CU2E85CC023349
Acura-TSXPremium;Acura;TSXPremium;JH4CU2F50DC800106
Acura-ILXPremium;Acura;ILXPremium;19UDE2F71HA001152
Acura-ILXTechnology;Acura;ILXTechnology;19UDE2F7XHA012571
Acura-TL4dr;Acura;TL4dr;19UUA662X8A054486
Acura-TL2WD;Acura;TL2WD;19UUA8F27CA025483
Acura-TLBase;Acura;TLBase;19UUA8F20DA014522
Acura-TLSpecial;Acura;TLSpecial;19UUA8F35DA017974
Acura-TLAutomatic;Acura;TLAutomatic;19UUA66245A038764
Acura-TSXV6;Acura;TSXV6;JH4CU4F62CC000197
Acura-TLwith;Acura;TLwith;19UUA8F72DA010760
Acura-TLSH-AWD;Acura;TLSH-AWD;19UUA9F74CA006620
Acura-TLType-S;Acura;TLType-S;19UUA56883A084531
Acura-TLManual;Acura;TLManual;19UUA65535A048603
Acura-RDXFWD;Acura;RDXFWD;5J8TB2H52CA000598
Acura-TLXFWD;Acura;TLXFWD;19UUB1F38FA017975
Acura-RDX4WD;Acura;RDX4WD;5J8TB18238A002125
Acura-RDXAWD;Acura;RDXAWD;5J8TB182X9A000082
Acura-RSXAutomatic;Acura;RSXAutomatic;JH4DC54856S000271
Acura-RDXwith;Acura;RDXwith;5J8TB3H50DL002765
Acura-RSXType-S;Acura;RSXType-S;JH4DC53033C000352
Acura-RDX*1-OWNER*LTHR*ROOF*BACK-UP*TECH;Acura;RDX*1-OWNER*LTHR*ROOF*BACK-UP*TECH;5J8TB2H21BA000130
Acura-RSXManual;Acura;RSXManual;JH4DC53866S003312
Acura-SLX4WD;Acura;SLX4WD;JAEDJ58X6X7B00076
